latitude,longitude,altitude,geometry,id,Level,Position,Building
-25.7536283415455,28.230425618619332,,Point,1,1,Front,Geography
-25.7536283415455,28.230425618619332,,Point,2,2,Front,Geography
-25.75362789622791,28.230425618619332,,Point,3,3,Front,Geography
-25.753414143784227,28.230522697854173,,Point,4,1,Back,Geography
-25.753413698466634,28.230522697854173,,Point,5,2,Back,Geography
-25.753413698466634,28.230522252536584,,Point,6,3,Back,Geography
